gene_name	accession
RPS10P5	Q9NQ39
SDF2	Q99470
TCEANC	Q8N8B7
SAXO2	Q658L1
SRSF10	O75494
PPAN	Q9NQ55
SIAH3	Q8IW03
RTL5	Q5HYW3
SNX27	Q96L92
TSNAX	Q99598
TSPY26P	Q9H489
VEGFB	P49765
WDR34	Q96EX3
UGGT2	Q9NYU1
TTC21A	Q8NDW8
UBE2NL	Q5JXB2
SDHAF3	Q9NRP4
TSC2	P49815
TSPAN17	Q96FV3
TSPAN12	O95859
SRY	Q05066
MRPS17	Q9Y2R5
UCN3	Q969E3
AKNAD1	Q5T1N1
BPI	P17213
CDKL2	Q92772
COX16	Q9P0S2
ALG3	Q92685
CPA3	P15088
CCDC120	Q96HB5
BRI3	O95415
C3orf84	H3BNL1
CBR1	P16152
BRD9	Q9H8M2
Uncharacterized	Q1T7F1
CGB7	P0DN87
ARSA	P15289
C8orf58	Q8NAV2
ARR3	P36575
AS3MT	Q9HBK9
CAPN12	Q6ZSI9
CCL15	Q16663
CCDC102B	Q68D86
ADAMTS20	P59510
CCL5	P13501
ARF1	P84077
ASF1B	Q9NVP2
ARHGEF35	A5YM69
ADH6	P28332
CCNB3	Q8WWL7
ARG1	P05089
CD81	P60033
CD28	P10747
CD8B	P10966
CASP2	P42575
CA6	P23280
CDCP1	Q9H5V8
CDCA4	Q9BXL8
GRAMD1C	Q8IYS0
CA9	Q16790
CRYAB	P02511
ADGRF1	Q5T601
ATP11C	Q8NB49
C19orf67	A6NJJ6
AGTR2	P50052
CLECL1	Q8IZS7
ATP1B2	P14415
CDHR4	A6H8M9
CSAG2	Q9Y5P2
CDHR5	Q9HBB8
CALCB	P10092
AHI1	Q8N157
ATP2C1	P98194
CLDN11	O75508
BCL9	O00512
ATP5F1EP2	Q5VTU8
CALML5	Q9NZT1
CDK12	Q9NYV4
ATP5MC1	P05496
CSF1R	P07333
CSF2	P04141
CDK14	O94921
CLDN2	P57739
ATP8B4	Q8TF62
CLDN7	O95471
ATXN8OS	P0DMR3
ADARB2	A8MUL3
AHR	P35869
ATAD5	Q96QE3
ATP1A1	Q5TC04
CDK6	Q00534
CSNK2A3	Q8NEV1
CHIC1	Q5VXU3
ADCY1	Q08828
CHIC2	Q9UKJ5
ATF7	P17544
CLIC2	O15247
CLIC6	Q96NY7
ADCY3	O60266
ATG10	Q9H0Y0
CLK1	P49759
CHMP1B	Q7LBR1
CLK3	P49761
CHMP2B	Q9UQN3
CHMP4B	Q9H444
CHMP4BP1	P59074
AP1B1	Q10567
ACER1	Q8TDN7
CLLU1	Q5K131
CD300E	Q496F6
CSMD1	Q96PZ7
CHMP6	Q96FZ7
CD300LB	A8K4G0
PRKAG2	Q9UGJ0
PRKAG3	Q9UGI9
STUB1	Q9UNE7
CLN3	Q13286
AAMDC	Q9H7C9
BDH1	Q02338
COPS2	P61201
AP1S2	P56377
COPS3	Q9UNS2
ATP5F1B	P06576
TESC	Q96BS2
GUSBP11	Q6P575
CHEK2	O96017
AP2A2	O94973
COPS5	Q92905
COPS6	Q7L5N1
CLP1	Q92989
BDP1	A6H8Y1
CHRNA4	P43681
CHRAC1	Q9NRG0
TFAP2E	Q6VUC0
CHRD	Q9H2X0
CHRNA1	P02708
CHRNB2	P17787
CHRNB4	P30926
BECN2	A8MW95
AP3B2	Q13367
AP3M1	Q9Y2T2
AP3S2	P59780
ANKRD13D	Q6ZTN6
ATG4A	Q8WYN0
CSPG4	Q6UVK1
TEPSIN	Q96N21
GOT1L1	Q8NHS2
ANP32A	P39687
ATG4D	Q86TL0
NUDT2	P50583
ANKRD34C	P0C6C1
BET1L	Q9NYM9
NAGLU	P54802
AP4B1	Q9Y6B7
AP4M1	O00189
BET1	O15155
BHLHB9	Q6PI77
AP4E1	Q9UPM8
TMBIM6	P55061
CHST6	Q9GZX3
CHST3	Q7LGC8
APAF1	O14727
CHST15	Q7LFX5
BID	P55957
BIN1	O00499
APBB2	Q92870
C9orf116	Q5BN46
C9orf118	A6NHY6
LINC00587	B1AMM8
NDUFAF1	Q9Y375
CEP131	Q9UPN4
ACKR1	Q16570
CEP135	Q66GS9
ANGPTL8	Q6UXH0
ACTL7A	Q9Y615
CSRP2	Q16527
ACMSD	Q8TDX5
CIB2	O75838
CIDEA	O60543
CUSTOS	Q96C57
ACOT12	Q8WYK0
C20orf96	Q9NUD7
C20orf144	Q9BQM9
NCOR1P1	Q9H4R4
ATMIN	O43313
ACOX1	Q15067
CYP3A43	Q9HB55
CYSLTR1	Q9Y271
CYP46A1	Q9Y6A2
CIP2A	Q8TCG1
DDA1	Q9BW61
CYP4F8	P98187
CYP4F11	Q9HBI6
CYP4F12	Q9HCS2
APOBR	Q0VD83
CMAHP	Q9Y471
MT	P00846
CPEB4	Q17RY0
C10orf126	Q8N4M7
C11orf52	Q96A22
C10orf67	Q8IYJ2
C10orf111	Q8N326
CKAP4	Q07065
CMTM6	Q9NX76
CPSF4	O95639
C12orf40	Q86WS4
CKS2	P33552
FANK1	Q8TC84
CPT2	P23786
CNGA1	P29973
CLEC14A	Q86T13
BAAT	Q14032
KCTD13	Q8WZ19
CNRIP1	Q96F85
BCAR1	P56945
AMPD2	Q01433
ABCA12	Q86UK0
ABCG1	P45844
ABHD16B	Q9H3Z7
ANGPT4	Q9Y264
ABCA7	Q8IZY2
ACADL	P28330
ACSBG1	Q96GR2
ANKRD10	Q9NXR5
FLRT3	Q9NZU0
EDN3	P14138
CERKL	Q49MI3
AGBL4	Q5VU57
CCDC168	Q8NDH2
CENPVL1	A0A0U1RR11
BSPRY	Q5W0U4
MT	P00414
CCDC167	Q9P0B6
BTBD9	Q96Q07
CFAP45	Q9UL16
C16orf97	H3BN30
BVES	Q5T3Y7
CGB2	Q6NT52
C8orf89	P0DMQ9
ARAP2	Q8WZ64
BZW1	Q7L1Q6
CAPN2	P17655
ASB7	Q9H672
C1QL1	O75973
ARFIP1	P53367
ASCL4	Q6XD76
CYB561D1	Q8N8Q1
C4orf47	A7E2U8
AFG3L2	Q9Y4W6
CD80	P33681
CDC20	Q12834
CASP6	P55212
CDC16	Q13042
CASP8	Q14790
CASR	P41180
C19orf18	Q8NEA5
ADGRG3	Q86Y34
BCL6	P41182
ATP1B4	Q9UN42
CSNKA2IP	A0A1B0GTH6
CALCR	P30988
CASC2	Q6XLA1
ATP2B2	Q01814
CSDE1	O75534
ADAM30	Q9UKF2
CCIN	Q13939
ATP5PB	P24539
KCNIP3	Q9Y2W7
CALML3	P27482
ATP5MC2	Q06055
CLDN19	Q8N6F1
ATP5MGL	Q7Z4Y8
CDK15	Q96Q40
CLDN1	O95832
ATXN7L1	Q9ULK2
CSF3	P09919
BCORP1	Q8N888
CDK16	Q00536
CALM3	P0DP25
ATP8A1	Q9Y2Q0
CLDN6	P56747
ADAM7	Q9H2U9
ATP8B3	O60423
CDK1	P06493
CSH1	P0DML2
CLDND2	Q8NHS1
ADAM9	Q13443
LVRN	Q6Q4G3
CDK20	Q8IZL9
ATAD2	Q6PL18
ADAT3	Q96EY9
CDK2	P24941
CALCRL	Q16602
CDK3	Q00526
CDK5	Q00535
ADA	P00813
C1orf61	Q13536
CSNK2A2	P19784
ACADSB	P45954
CSK	P41240
ABO	P16442
BARGIN	Q6ZT62
ATF2	P15336
ATF5	Q9Y2D1
CLIC5	Q9NZA1
ATF4	P18848
ADCY6	O43306
CLK2	P49760
CHMP1A	Q9HD42
AOX1	Q06278
CLK4	Q9HAZ1
AP1AR	Q63HQ0
CHN1	P15882
CD300LF	Q8TDQ1
ACER3	Q9NUN7
CHMP3	Q9Y3E7
CD300LD	Q6UXZ3
CHMP7	Q8WUX9
CD300A	Q9UGN4
AMTN	Q6UX39
CD300LG	Q6UXG3
CCSMST1	Q4G0I0
AP1G1	O43747
AP1M1	Q9BXS5
ACE	P12821
AP1M2	Q9Y6Q5
AP1S1	P61966
CLOCK	O15516
CHEK1	O14757
CHP2	O43745
ADD1	P35611
COPS7A	Q9UBW8
COPS7B	Q9H9Q2
CHRNA2	Q15822
COPS8	Q99627
TFAP2C	Q92754
CHKB	Q9Y259
CHRNA7	P36544
AP2S1	P53680
AASS	Q9UDR5
CLPB	Q9H078
BHLHA15	Q7RTS1
CHRNE	Q04844
BHLHA9	Q7RTU4
AP3S1	Q92572
ACIN1	Q9UKV3
VCAN	P13611
BEND2	Q8NDZ0
ANKRD18A	Q8IVF6
BEND6	Q5SZJ8
ANKRD30A	Q9BXX3
CSPG5	O95196
ATG4C	Q96DT6
ANP32E	Q9BTT0
EIF4EBP1	Q13541
CHSY1	Q86X52
BHMT	Q93088
AP5Z1	O43299
CHST2	Q9Y4C5
CHST4	Q8NCG5
AP5S1	Q9NUS5
BICD2	Q8TD16
CHST13	Q8NET6
ATG7	O95352
ARFGEF2	Q9Y6D5
BEX4	Q9NWD9
C9orf47	Q6ZRZ4
C9orf92	A6NGG3
ACLY	P53396
CYP19A1	P11511
CSRNP2	Q9H175
CST8	O60676
APCDD1L	Q8NCL9
APC	P25054
CPLANE2	Q9BU20
CPLX1	O14810
CPLX3	Q8WVH0
PRNP	F7VJQ1
LINC01561	Q8N1V8
C10orf90	Q96M02
ELMOD3	Q96FG2
C10orf95	Q9H7T3
